Complaint,Complaint_Clean,Category,Urgency,Complaint_Clean_Banglish
The courier lost my order — I need a replacement ASAP. despite following all instructions,The courier lost my order - I need a replacement ASAP. despite following all instructions,Order Tracking,Immediate,Courier amar order hariye feleche - amar ekta replacement dorkar ASAP. shob instruction follow korar poro o
"The box arrived empty, just packing materials. please fix this ASAP","The box arrived empty, just packing materials. please fix this ASAP",Order Issues,Immediate,"Box khali esheche, shudhu packing materials chilo. please eta taratari fix korun"
There are defects in the stitching of this garment. and I don't know what to do next,There are defects in the stitching of this garment. and I don't know what to do next,Product Issues,Medium,Ei garment er shelaye defect ache. ebong ami jani na tarpor ki korbo
Used Apple Pay — no order confirmation received. please fix this ASAP,Used Apple Pay - no order confirmation received. please fix this ASAP,Payments,Medium,Apple Pay use korechi - kono order confirmation pai ni. please eta taratari fix korun
The courier lost my order — I need a replacement ASAP. please fix this ASAP,The courier lost my order - I need a replacement ASAP. please fix this ASAP,Order Tracking,High,Courier amar order hariye feleche - amar ekta replacement dorkar ASAP. please eta taratari fix korun
The discount code I got by email doesn’t work on any items. and I don't know what to do next,The discount code I got by email doesn't work on any items. and I don't know what to do next,Promotions,High,Email e paoa discount code konta tei kaj korche na. ebong ami jani na tarpor ki korbo
"I used a valid code and it applied, but was later removed. and I don't know what to do next","I used a valid code and it applied, but was later removed. and I don't know what to do next",Promotions,Low,"Ami ekta valid code use korechilam ebong sheta apply o hoyechilo, kintu pore remove kore dewa hoyeche. ebong ami jani na tarpor ki korbo"
"The box arrived empty, just packing materials. even after multiple attempts","The box arrived empty, just packing materials. even after multiple attempts",Order Issues,High,"Box khali esheche, shudhu packing materials chilo. onek bar chesta korar poro"
There are defects in the stitching of this garment. even after multiple attempts,There are defects in the stitching of this garment. even after multiple attempts,Product Issues,High,Ei garment er shelaye defect ache. onek bar chesta korar poro
You promised a refund 10 days ago — still nothing in my account. — this is very frustrating,You promised a refund 10 days ago - still nothing in my account. - this is very frustrating,Refunds,Medium,Apni 10 din age refund er promise korechilen - ekhono amar account e kichu asni. - eta khub e frustrating
"Tracking says delivered, but nothing is at my door. despite following all instructions","Tracking says delivered, but nothing is at my door. despite following all instructions",Order Tracking,High,"Tracking e delivered dekhacche, kintu amar dorjar shamne kichu nei. shob instruction follow korar poro o"
App is extremely slow today. despite following all instructions,App is extremely slow today. despite following all instructions,Technical Issues,High,App ajke khub e slow. shob instruction follow korar poro o
Duplicate orders were placed by mistake and I can't cancel. even after multiple attempts,Duplicate orders were placed by mistake and I can't cancel. even after multiple attempts,Order Issues,Immediate,Bhul kore duplicate order hoye geche ebong ami cancel korte parchi na. onek bar chesta korar poro
You sent me a tracking number that doesn’t exist. even after multiple attempts,You sent me a tracking number that doesn't exist. even after multiple attempts,Order Tracking,Medium,Apni amake ekta tracking number diyechen ja exist kore na. onek bar chesta korar poro
"Tracking says delivered, but nothing is at my door. and it's really disappointing","Tracking says delivered, but nothing is at my door. and it's really disappointing",Order Tracking,Immediate,"Tracking e delivered dekhacche, kintu amar dorjar shamne kichu nei. ebong eta khub e disappointing"
Error message keeps popping up during login. and I need help urgently,Error message keeps popping up during login. and I need help urgently,Technical Issues,High,Login er shomoy bar bar error message ashche. ebong amar urgent help dorkar
You refunded the wrong amount. even after multiple attempts,You refunded the wrong amount. even after multiple attempts,Refunds,Medium,Apni bhul amount refund korechen. onek bar chesta korar poro
Everything came except the most expensive item I paid for. please fix this ASAP,Everything came except the most expensive item I paid for. please fix this ASAP,Order Issues,Medium,Shob kichu esheche shudhu shobche expensive jinish ta chara ja er jonno ami pay korechilam. please eta taratari fix korun
My order shows 'fulfilled' but I never received it. please fix this ASAP,My order shows 'fulfilled' but I never received it. please fix this ASAP,Order Issues,High,Amar order e 'fulfilled' dekhacche kintu ami kkhono pai ni. please eta taratari fix korun
The app froze during checkout and now my cart is empty. despite following all instructions,The app froze during checkout and now my cart is empty. despite following all instructions,Technical Issues,High,Checkout er shomoy app freeze hoye geche ebong ekhon amar cart khali. shob instruction follow korar poro o
Billing and shipping addresses keep getting swapped. please fix this ASAP,Billing and shipping addresses keep getting swapped. please fix this ASAP,Account & Shipping,High,Billing ebong shipping address bar bar change hoye jacche. please eta taratari fix korun
"The box arrived empty, just packing materials. and I need help urgently","The box arrived empty, just packing materials. and I need help urgently",Order Issues,High,"Box ta khali asheche, shudhu packing materials chilo. Ar amar urgent help dorkar"
It has a foul odor like chemicals. even after multiple attempts,It has a foul odor like chemicals. even after multiple attempts,Product Issues,High,Ete chemical er moto ekta kharap smell ashtese. Onek bar chesta korar por o
I didn’t approve this transaction. despite following all instructions,I didn't approve this transaction. despite following all instructions,Payments,Low,Ami ei transaction approve kori nai. Shob instruction follow korar por o
Billing and shipping addresses keep getting swapped. which is unacceptable,Billing and shipping addresses keep getting swapped. which is unacceptable,Account & Shipping,High,Billing ar shipping address bar bar change hoye jacche. Jeta unaccepted
My tracking shows 'label created' for 5 days with no movement. — this is very frustrating,My tracking shows 'label created' for 5 days with no movement. - this is very frustrating,Order Tracking,Immediate,Amar tracking e 5 din dhore 'label created' dekhacche kono movement chara. - eta khub frustrating
It says 'Buy 1 Get 1 Free' but I was charged for both items. and it's really disappointing,It says 'Buy 1 Get 1 Free' but I was charged for both items. and it's really disappointing,Promotions,Medium,Ete 'Buy 1 Get 1 Free' lekha kintu amake dui ta item er i dam rakha hoise. Ar eta shottii disappointing
I can’t change my shipping method after ordering. even after multiple attempts,I can't change my shipping method after ordering. even after multiple attempts,Account & Shipping,Immediate,Order korar por ami amar shipping method change korte parchi na. Onek bar chesta korar por o
The zipper broke the first time I used the bag. and I don't know what to do next,The zipper broke the first time I used the bag. and I don't know what to do next,Product Issues,Low,Bag ta first time use korar shomoy i zipper ta bhenge geche. Ar ami bujhte parchi na ki korbo
The discount code I got by email doesn’t work on any items. and it's really disappointing,The discount code I got by email doesn't work on any items. and it's really disappointing,Promotions,Medium,Email e je discount code peyechi sheta kono item e kaj korche na. Ar eta shottii disappointing
Search results don’t load anything anymore. despite following all instructions,Search results don't load anything anymore. despite following all instructions,Technical Issues,Immediate,Search results e r kichu load hocche na. Shob instruction follow korar por o
"Referral code said $10 off, but it did nothing. which is unacceptable","Referral code said $10 off, but it did nothing. which is unacceptable",Promotions,High,"Referral code e $10 off bola chilo, kintu eta kichui korlo na. Jeta unaccepted"
I received store credit instead of a cash refund I requested. please fix this ASAP,I received store credit instead of a cash refund I requested. please fix this ASAP,Refunds,High,Ami je cash refund cheyechilam tar bodole store credit peyechi. kindly eta taratari fix korun
I want a refund but there's no option in the return menu. which is unacceptable,I want a refund but there's no option in the return menu. which is unacceptable,Refunds,High,Ami refund chai kintu return menu te kono option nai. Jeta unaccepted
I didn’t approve this transaction. and there's no explanation anywhere,I didn't approve this transaction. and there's no explanation anywhere,Payments,Immediate,Ami ei transaction approve kori nai. Ar kothao kono explanation nai
Wrong items delivered — not even close to what I ordered. and I need help urgently,Wrong items delivered - not even close to what I ordered. and I need help urgently,Order Issues,Low,Vul item delivery dise - ami ja order korechilam tar kachakachi o na. Ar amar urgent help dorkar
It shipped to the wrong apartment. and there's no explanation anywhere,It shipped to the wrong apartment. and there's no explanation anywhere,Account & Shipping,Immediate,Eta vul apartment e ship hoye geche. Ar kothao kono explanation nai
Instructions were unclear and impossible to follow. which is unacceptable,Instructions were unclear and impossible to follow. which is unacceptable,Product Issues,Low,Instructions gulo unclear chilo ar follow kora impossible chilo. Jeta unaccepted
I updated my address but order still went to the old one. and I need help urgently,I updated my address but order still went to the old one. and I need help urgently,Account & Shipping,Medium,Ami address update korechi kintu order tokhono puraton tai chole geche. Ar amar urgent help dorkar
I want a refund but there's no option in the return menu. and I need help urgently,I want a refund but there's no option in the return menu. and I need help urgently,Refunds,Medium,Ami refund chai kintu return menu te kono option nai. Ar amar urgent help dorkar
Shipping info shows a state I don’t live in. which is unacceptable,Shipping info shows a state I don't live in. which is unacceptable,Account & Shipping,Immediate,Shipping info te emon ekta state dekhacche jekhane ami thaki na. Jeta unaccepted
Missing accessories from the package.,Missing accessories from the package.,Product Issues,Immediate,Package theke accessories missing chilo.
The courier lost my order — I need a replacement ASAP. and it's really disappointing,The courier lost my order - I need a replacement ASAP. and it's really disappointing,Order Tracking,Medium,Courier amar order ta harie feleche - amar ekta replacement ASAP dorkar. Ar eta shottii disappointing
I never got tracking info in the first place. despite following all instructions,I never got tracking info in the first place. despite following all instructions,Order Tracking,Low,Ami shurutei kono tracking info pai nai. Shob instruction follow korar por o
Still waiting for confirmation that my refund is being processed. which is unacceptable,Still waiting for confirmation that my refund is being processed. which is unacceptable,Refunds,Medium,Amar refund process hocche kina shetar confirmation er jonno wait korchi. Jeta unaccepted
Used Apple Pay — no order confirmation received. and I don't know what to do next,Used Apple Pay - no order confirmation received. and I don't know what to do next,Payments,Immediate,Apple Pay use korechilam - kono order confirmation pai nai. Ar ami bujhte parchi na ki korbo
My loyalty points are missing even after multiple purchases. and there's no explanation anywhere,My loyalty points are missing even after multiple purchases. and there's no explanation anywhere,Promotions,Low,Onek bar purchase korar por o amar loyalty points missing. Ar kothao kono explanation nai
"Tracking says delivered, but nothing is at my door. — this is very frustrating","Tracking says delivered, but nothing is at my door. - this is very frustrating",Order Tracking,Immediate,"Tracking e delivered dekhacche, kintu amar dorjar shamne kichu nai. - eta khub frustrating"
Your support team said I’d get refunded — it's been a week. which is unacceptable,Your support team said I'd get refunded - it's been a week. which is unacceptable,Refunds,Immediate,Apnader support team bolechilo ami refund pabo - ek shoptaho hoye geche. Jeta unaccepted
Only part of my order arrived — the rest is missing. and it's really disappointing,Only part of my order arrived - the rest is missing. and it's really disappointing,Order Issues,Medium,Amar order er shudhu ekta part asheche - baki shob missing. Ar eta shottii disappointing
Duplicate orders were placed by mistake and I can't cancel. please fix this ASAP,Duplicate orders were placed by mistake and I can't cancel. please fix this ASAP,Order Issues,Immediate,Vulboshoto duplicate order hoye geche ar ami cancel korte parchi na. kindly eta taratari fix korun
Can’t apply filters while browsing products. even after multiple attempts,Can't apply filters while browsing products. even after multiple attempts,Technical Issues,High,Products browse korar shomoy filters apply korte parchi na. Onek bar chesta korar por o
Flash sale prices aren’t reflected during checkout. please fix this ASAP,Flash sale prices aren't reflected during checkout. please fix this ASAP,Promotions,Immediate,Checkout er shomoy flash sale prices reflect korche na. kindly eta taratari fix korun
"Bank says payment went through, you say it didn’t. and I need help urgently","Bank says payment went through, you say it didn't. and I need help urgently",Payments,Low,"Bank bolche payment hoye geche, apnara bolchen hoyni. Ar amar urgent help dorkar"
"Referral code said $10 off, but it did nothing. and there's no explanation anywhere","Referral code said $10 off, but it did nothing. and there's no explanation anywhere",Promotions,Immediate,"Referral code e $10 off bola chilo, kintu eta kichui korlo na. Ar kothao kono explanation nai"
Wrong items delivered — not even close to what I ordered. please fix this ASAP,Wrong items delivered - not even close to what I ordered. please fix this ASAP,Order Issues,High,Vul item delivery dise - ami ja order korechilam tar kachakachi o na. kindly eta taratari fix korun
Your support team said I’d get refunded — it's been a week. and it's really disappointing,Your support team said I'd get refunded - it's been a week. and it's really disappointing,Refunds,Low,Apnader support team bolechilo ami refund pabo - ek shoptaho hoye geche. Ar eta shottii disappointing
Shipping info shows a state I don’t live in. — this is very frustrating,Shipping info shows a state I don't live in. - this is very frustrating,Account & Shipping,Medium,Shipping info te emon ekta state dekhacche jekhane ami thaki na. - eta khub frustrating
Missing accessories from the package. and it's really disappointing,Missing accessories from the package. and it's really disappointing,Product Issues,Immediate,Package theke accessories missing chilo. Ar eta shottii disappointing
Flash sale prices aren’t reflected during checkout. and I don't know what to do next,Flash sale prices aren't reflected during checkout. and I don't know what to do next,Promotions,Medium,Checkout er shomoy flash sale prices reflect korche na. Ar ami bujhte parchi na ki korbo
I was charged twice for the same item. and I don't know what to do next,I was charged twice for the same item. and I don't know what to do next,Payments,Low,Ek i item er jonno amake dui bar charge kora hoise. Ar ami bujhte parchi na ki korbo
App is extremely slow today. even after multiple attempts,App is extremely slow today. even after multiple attempts,Technical Issues,Low,App ajke khub slow. Onek bar chesta korar por o
One side of the headphones doesn't work. despite following all instructions,One side of the headphones doesn't work. despite following all instructions,Product Issues,High,Headphones er ek side kaj korche na. Shob instruction follow korar por o
"Referral code said $10 off, but it did nothing. — this is very frustrating","Referral code said $10 off, but it did nothing. - this is very frustrating",Promotions,Immediate,"Referral code e $10 off bola chilo, kintu eta kichui korlo na. - eta khub frustrating"
Transaction failed but my card got debited anyway. please fix this ASAP,Transaction failed but my card got debited anyway. please fix this ASAP,Payments,Immediate,Transaction fail hoise kintu tarpor o amar card theke taka kete niyeche. kindly eta taratari fix korun
The app froze during checkout and now my cart is empty. and I need help urgently,The app froze during checkout and now my cart is empty. and I need help urgently,Technical Issues,Low,Checkout er shomoy app freeze hoye geche ar ekhon amar cart khali. Ar amar urgent help dorkar
Wrong items delivered — not even close to what I ordered. and it's really disappointing,Wrong items delivered - not even close to what I ordered. and it's really disappointing,Order Issues,Immediate,Vul item delivery dise - ami ja order korechilam tar kachakachi o na. Ar eta shottii disappointing
It looks like a returned item — packaging was already opened. even after multiple attempts,It looks like a returned item - packaging was already opened. even after multiple attempts,Product Issues,Medium,Dekhte mone hocche return kora item - packaging age thekei open chilo. Onek bar chesta korar por o
Can’t reset my password — reset link doesn’t work. please fix this ASAP,Can't reset my password - reset link doesn't work. please fix this ASAP,Account & Shipping,Low,Password reset korte parchi na - reset link kaj korche na. kindly eta taratari fix korun
My order shows 'fulfilled' but I never received it. even after multiple attempts,My order shows 'fulfilled' but I never received it. even after multiple attempts,Order Issues,High,Amar order e 'fulfilled' dekhacche kintu ami ekhono pai nai. Onek bar chesta korar por o
"The box arrived empty, just packing materials. and I don't know what to do next","The box arrived empty, just packing materials. and I don't know what to do next",Order Issues,Immediate,"Box ta khali asheche, shudhu packing materials chilo. Ar ami bujhte parchi na ki korbo"
There’s a mystery fee added to my final bill. even after multiple attempts,There's a mystery fee added to my final bill. even after multiple attempts,Payments,Low,"Amar final bill er shathe ekta mystery fee add hoyeche, onek bar chesta korar poro."
There’s a mystery fee added to my final bill. and it's really disappointing,There's a mystery fee added to my final bill. and it's really disappointing,Payments,Medium,"Amar final bill er shathe ekta mystery fee add hoyeche, ebong eta shotyii onek disappointing."
The item arrived broken and unusable. — this is very frustrating,The item arrived broken and unusable. - this is very frustrating,Product Issues,Immediate,Product ta broken ebong unusable obosthay esheche - eta khuboi frustrating.
I received store credit instead of a cash refund I requested. which is unacceptable,I received store credit instead of a cash refund I requested. which is unacceptable,Refunds,High,"Ami je cash refund cheyechilam, tar bodole store credit peyechi, eta kono vabei accept korar moto na."
Only part of my order arrived — the rest is missing. — this is very frustrating,Only part of my order arrived - the rest is missing. - this is very frustrating,Order Issues,Immediate,Amar order er shudhu kichu ongsho esheche - baki shob missing - eta khuboi frustrating.
It looks like a returned item — packaging was already opened. despite following all instructions,It looks like a returned item - packaging was already opened. despite following all instructions,Product Issues,Immediate,"dekhte mone hocche eta ekta returned item - packaging agei open kora chilo, shob instruction follow korar poro."
I paid for express delivery and it’s still not shipped. and it's really disappointing,I paid for express delivery and it's still not shipped. and it's really disappointing,Order Tracking,Low,"Ami express delivery er jonno pay korechi kintu ekhono ship kora hoyni, ebong eta shotyii onek disappointing."
My tracking shows 'label created' for 5 days with no movement. even after multiple attempts,My tracking shows 'label created' for 5 days with no movement. even after multiple attempts,Order Tracking,Medium,"Amar tracking e 5 din dhore 'label created' dekhasche kono movement chara, onek bar chesta korar poro."
I can’t change my shipping method after ordering. and it's really disappointing,I can't change my shipping method after ordering. and it's really disappointing,Account & Shipping,Immediate,"Order korar por ami amar shipping method change korte parchi na, ebong eta shotyii onek disappointing."
It keeps saying my email is invalid. — this is very frustrating,It keeps saying my email is invalid. - this is very frustrating,Account & Shipping,Low,Bar bar bolche amar email invalid - eta khuboi frustrating.
I clicked on a 15% off ad and it vanished at checkout. — this is very frustrating,I clicked on a 15% off ad and it vanished at checkout. - this is very frustrating,Promotions,Immediate,Ami ekta 15% off er ad e click korechilam kintu checkout er shomoy seta chole geche - eta khuboi frustrating.
Why was one of my items refunded without asking? and it's really disappointing,Why was one of my items refunded without asking? and it's really disappointing,Order Issues,Immediate,Kono jiggesh na korei amar ekta item keno refund kora holo? ebong eta shotyii onek disappointing.
I got charged but no confirmation email came through. and I don't know what to do next,I got charged but no confirmation email came through. and I don't know what to do next,Order Issues,Low,"Amar theke taka kete niyeche kintu kono confirmation email asheni, ebong ami bujhchi na ekhon ki korbo."
The colors in the product photos are completely misleading. please fix this ASAP,The colors in the product photos are completely misleading. please fix this ASAP,Product Issues,Immediate,Product photo te rong gulo puro misleading - kindly eta taratari fix korun.
Everything came except the most expensive item I paid for. and it's really disappointing,Everything came except the most expensive item I paid for. and it's really disappointing,Order Issues,Medium,"Shob kichu esheche shudhu shobcheye dami item ta chara jeta ami pay korechilam, ebong eta shotyii onek disappointing."
I updated my address but order still went to the old one. — this is very frustrating,I updated my address but order still went to the old one. - this is very frustrating,Account & Shipping,High,Ami address update korechilam kintu order tokhono puraton addressেই chole geche - eta khuboi frustrating.
Search results don’t load anything anymore. and it's really disappointing,Search results don't load anything anymore. and it's really disappointing,Technical Issues,Medium,"Search result e ar kichui load hocche na, ebong eta shotyii onek disappointing."
Everything came except the most expensive item I paid for. and there's no explanation anywhere,Everything came except the most expensive item I paid for. and there's no explanation anywhere,Order Issues,High,"Shob kichu esheche shudhu shobcheye dami item ta chara jeta ami pay korechilam, ebong kothao kono explanation nei."
The discount code I got by email doesn’t work on any items. despite following all instructions,The discount code I got by email doesn't work on any items. despite following all instructions,Promotions,Low,"Ami email e je discount code peyechilam seta kono item e kaj korche na, shob instruction follow korar poro."
My order shows 'fulfilled' but I never received it. which is unacceptable,My order shows 'fulfilled' but I never received it. which is unacceptable,Order Issues,Medium,"Amar order e 'fulfilled' dekhasche kintu ami ekhono pai ni, eta kono vabei accept korar moto na."
The site accepted my payment but shows no order. despite following all instructions,The site accepted my payment but shows no order. despite following all instructions,Payments,Low,"Site amar payment accept koreche kintu kono order dekhasche na, shob instruction follow korar poro."
I didn’t approve this transaction. which is unacceptable,I didn't approve this transaction. which is unacceptable,Payments,Low,"Ami ei transaction ta approve korini, eta kono vabei accept korar moto na."
Your system rejected my student discount for no reason. and I need help urgently,Your system rejected my student discount for no reason. and I need help urgently,Promotions,Low,"Apnader system kono karon chara amar student discount reject koreche, ebong amar khub joruri sahajjo lagbe."
Can’t reset my password — reset link doesn’t work. even after multiple attempts,Can't reset my password - reset link doesn't work. even after multiple attempts,Account & Shipping,Low,"Password reset korte parchi na - reset link kaj korche na, onek bar chesta korar poro."
Why was a restocking fee deducted from my refund? and I need help urgently,Why was a restocking fee deducted from my refund? and I need help urgently,Refunds,High,Amar refund theke restocking fee keno kete rakha holo? ebong amar khub joruri sahajjo lagbe.
The site accepted my payment but shows no order. and there's no explanation anywhere,The site accepted my payment but shows no order. and there's no explanation anywhere,Payments,Immediate,"Site amar payment accept koreche kintu kono order dekhasche na, ebong kothao kono explanation nei."
The zipper broke the first time I used the bag. despite following all instructions,The zipper broke the first time I used the bag. despite following all instructions,Product Issues,High,"Bag ta prothom bar use korar shomoyi zipper ta bhenge geche, shob instruction follow korar poro."
"I used a valid code and it applied, but was later removed. despite following all instructions","I used a valid code and it applied, but was later removed. despite following all instructions",Promotions,High,"Ami ekta valid code use korechilam ebong seta applyo hoyechilo, kintu pore remove kore dewa hoyeche, shob instruction follow korar poro."
My tracking shows 'label created' for 5 days with no movement. and it's really disappointing,My tracking shows 'label created' for 5 days with no movement. and it's really disappointing,Order Tracking,Immediate,"Amar tracking e 5 din dhore 'label created' dekhasche kono movement chara, ebong eta shotyii onek disappointing."
The shipping company marked it as delivered to the wrong city. even after multiple attempts,The shipping company marked it as delivered to the wrong city. even after multiple attempts,Order Tracking,High,"Shipping company vul city te delivery dekhieche, onek bar chesta korar poro."
One side of the headphones doesn't work. and I don't know what to do next,One side of the headphones doesn't work. and I don't know what to do next,Product Issues,High,"Headphones er ek pasher ta kaj korche na, ebong ami bujhchi na ekhon ki korbo."
I returned everything and only got a partial refund. despite following all instructions,I returned everything and only got a partial refund. despite following all instructions,Refunds,Low,"Ami shob return korechilam kintu partial refund peyechi, shob instruction follow korar poro."
This isn't what I ordered — it’s the wrong model. despite following all instructions,This isn't what I ordered - it's the wrong model. despite following all instructions,Product Issues,Medium,"Eta ami order korini - eta vul model, shob instruction follow korar poro."
I paid for express delivery and it’s still not shipped. which is unacceptable,I paid for express delivery and it's still not shipped. which is unacceptable,Order Tracking,Low,"Ami express delivery er jonno pay korechi kintu ekhono ship kora hoyni, eta kono vabei accept korar moto na."
It has a foul odor like chemicals. and I don't know what to do next,It has a foul odor like chemicals. and I don't know what to do next,Product Issues,High,"Kemon jeno chemical er moto durgondho ber hocche, ebong ami bujhchi na ekhon ki korbo."
I never received the promised sign-up bonus. despite following all instructions,I never received the promised sign-up bonus. despite following all instructions,Promotions,Low,"Ami proshrutiboddho sign-up bonus ta kakhono pai ni, shob instruction follow korar poro."
The shipping company marked it as delivered to the wrong city. and I don't know what to do next,The shipping company marked it as delivered to the wrong city. and I don't know what to do next,Order Tracking,High,"Shipping company vul city te delivery dekhieche, ebong ami bujhchi na ekhon ki korbo."
"You're advertising free shipping, but I'm being charged for it. and I need help urgently","You're advertising free shipping, but I'm being charged for it. and I need help urgently",Promotions,Low,"Apnara free shipping er ad dicchen, kintu amar theke charge kora hocche, ebong amar khub joruri sahajjo lagbe."
Package was rerouted without telling me. which is unacceptable,Package was rerouted without telling me. which is unacceptable,Order Tracking,Low,"Amake na janiyei package rerouted kora hoyeche, eta kono vabei accept korar moto na."
Why was one of my items refunded without asking? — this is very frustrating,Why was one of my items refunded without asking? - this is very frustrating,Order Issues,Medium,Kono jiggesh na korei amar ekta item keno refund kora holo? - eta khuboi frustrating.
Your system rejected my student discount for no reason. despite following all instructions,Your system rejected my student discount for no reason. despite following all instructions,Promotions,Low,"Apnader system kono karon chara amar student discount reject koreche, shob instruction follow korar poro."
"The return was delivered, but no refund yet. and it's really disappointing","The return was delivered, but no refund yet. and it's really disappointing",Refunds,High,"Return ta deliver hoyeche, kintu ekhono refund paini, ebong eta shotyii onek disappointing."
Can’t apply filters while browsing products.,Can't apply filters while browsing products.,Technical Issues,Low,Products browse korar shomoy filters apply korte parchi na.
